 Consec, Region, SampleID,Ca_input (mg/L),Mg_input (mg/L),Na_input (mg/L),K_input (mg/L),SO4_input (mg/L),Cl_input (mg/L),HCO3_input (mg/L),CO3_input (mg/L)," Data in mEq/L  
 start here",Ca mEq/L,Mg mEq/L,Na mEq/L,K mEq/L,SO4 mEq/L,Cl mEq/L,HCO3 mEq/L,CO3 mEq/L," Data in mMol/L 
 start here",Ca mMol/L,Mg mMol/L,Na mMol/L,K mMol/L,SO4 mMol/L,Cl mMol/L,HCO3 mMol/L,CO3 mMol/L,CationC,AnionC,FinalC,"hlr transformations  
 start here",hlr2,hlr3,hlr4,hlr5,hlr6,hlr7,hlr8,"7 hlr model for cations 
 start here",hDF1_Ca-Mg-Na,hDF2_Ca-Mg-Na,hp_Ca,hp_Mg,hp_Na,------,hDF1_Ca-Mg-K,hDF2_Ca-Mg-K,hp_Ca,hp_Mg,hp_K,------,hDF1_Ca-Na-K,hDF2_Ca-Na-K,hp_Ca,hp_Na,hp_K,------,hDF1_Mg-Na-K,hDF2_Mg-Na-K,hp_Mg,hp_Na,hp_K,"7 hlr model for anions 
 start here",hDF1_SO4-Cl-HCO3,hDF2_SO4-Cl-HCO3,hp_SO4,hp_Cl,hp_HCO3,------,hDF1_SO4-Cl-CO3,hDF2_SO4-Cl-CO3,hp_SO4,hp_Cl,hp_CO3,------,hDF1_SO4-HCO3-CO3,hDF2_SO4-HCO3-CO3,hp_SO4,hp_HCO3,hp_CO3,------,hDF1_Cl-HCO3-CO3,hDF2_Cl-HCO3-CO3,hp_Cl,hp_HCO3,hp_CO3,"Sum of cation probabilities 
 of 7 hlr model  start here",hp_Ca,hp_Mg,hp_Na,hp_K,CationP,CationPH,"Sum of anion probabilities 
 of 7 hlr model  start here",hp_SO4,hp_Cl,hp_HCO3,hp_CO3,AnionP,AnionPH,FinalP,FinalPH,-----,Ionic imbalance %,Acceptability
39,Visakhapatnam,VO2,96,128,44.9,0.2,70,110,600,10, ,4.790658216,10.53281218,1.953042654,0.005115312,1.457483135,3.102961918,9.833486299,0.333288895, ,2.395329108,5.266406089,1.953042654,0.005115312,0.728741567,3.102961918,9.833486299,0.166644447,magnesium,bicarbonate,magnesium-bicarbonate, ,-1.756527906,-0.764568224,5.180337167,0.22125638,-1.227536846,-2.380973263,1.696713061,,-0.492194209,-0.936208916,0.159836495,0.730910479,0.109253026,,-3.075266402,-6.672872761,0.1492581,0.850739235,2.66E-06,,-6.065293044,-3.205390846,0.642577614,0.357415605,6.78E-06,,-6.596718413,-3.351292043,0.909385635,0.090612509,1.86E-06,,2.337890317,1.160685664,0.006472755,0.100887591,0.892639653,,-0.835385707,2.774592309,0.070883593,0.925097766,0.004018641,,3.949145341,-1.113193625,0.00765679,0.991890131,0.000453079,,4.140901388,0.774128285,0.103461781,0.896129259,0.00040896,,0.237918052,0.622758837,0.139320285,2.83E-06,magnesium,magnesium,,0.021253285,0.282361785,0.695164761,0.00122017,bicarbonate,bicarbonate-chloride,magnesium-bicarbonate,magnesium bicarbonate-chloride,,7.980318647,acceptable
40,Visakhapatnam,VO11,48,64,263,26,62,230,520,30, ,2.395329108,5.266406089,11.43987122,0.664990549,1.290913634,6.488011283,8.522354792,0.999866684, ,1.197664554,2.633203045,11.43987122,0.664990549,0.645456817,6.488011283,8.522354792,0.499933342,sodium,bicarbonate,sodium-bicarbonate, ,-0.210792493,-1.67969623,1.165390949,1.195205469,-1.112547556,-1.385284187,1.450689004,,2.401431437,-0.18064858,0.010549259,0.044606721,0.94484402,,-1.05238365,-0.60441586,0.157528671,0.759095213,0.083376115,,-0.414423544,-2.933346062,0.012140889,0.98201975,0.005839361,,-0.952327394,-2.589633378,0.05344576,0.940992559,0.005561682,,2.683215643,0.277846338,0.005816531,0.365506214,0.628677254,,0.420938571,2.633052392,0.016421504,0.973434785,0.010143711,,2.509372436,-1.578773404,0.009848738,0.984066327,0.006084935,,2.798981745,1.07615197,0.366057675,0.630243193,0.003699131,,0.045054705,0.214286924,0.716964082,0.02369429,sodium,sodium,,0.008021693,0.426249669,0.560746694,0.004981944,bicarbonate,bicarbonate-chloride,sodium-bicarbonate,sodium bicarbonate-chloride,,6.651202237,acceptable
41,Visakhapatnam,VO12,128,16,72.6,8.7,45,110,320,10, ,6.387544289,1.316601522,3.157926429,0.222516068,0.936953444,3.102961918,5.244526026,0.333288895, ,3.193772144,0.658300761,3.157926429,0.222516068,0.468476722,3.102961918,5.244526026,0.166644447,calcium,bicarbonate,calcium-bicarbonate, ,0.496799534,-1.071209454,1.581462127,0.83697503,-1.053650948,-1.578478706,1.870598959,,0.678863007,1.877904895,0.431776358,0.018797513,0.549426128,,0.941375893,-2.253015956,0.942381698,0.047059077,0.010559225,,-2.411696465,-1.554651047,0.438480514,0.55681584,0.004703646,,-0.632818645,-2.519968253,0.04190416,0.950002196,0.008093644,,2.325394931,0.525844579,0.009599471,0.266174722,0.724225807,,-0.373876768,2.778496377,0.039003237,0.95582169,0.005175073,,3.164859779,-1.088756635,0.014171497,0.983850931,0.001977572,,3.393060771,1.094645934,0.267193131,0.731396447,0.001410422,,0.453159643,0.026940188,0.514061041,0.005839129,sodium,sodium-calcium,,0.015693551,0.372297386,0.609868296,0.002140767,bicarbonate,bicarbonate-chloride,sodium-bicarbonate,sodium-calcium bicarbonate-chloride,,7.085477015,acceptable
42,Visakhapatnam,VO14,144,40,50.9,7.2,65,180,260,20, ,7.185987325,3.291503806,2.214028309,0.184151229,1.353377197,5.077574048,4.261177396,0.66657779, ,3.592993662,1.645751903,2.214028309,0.184151229,0.676688598,5.077574048,4.261177396,0.333288895,calcium,chloride,calcium-chloride, ,-0.190061342,-0.486677599,2.000133983,0.698680106,-1.316697576,-1.141409485,1.406881635,,-0.169123676,0.813426427,0.591410401,0.124580882,0.284008717,,-0.09702699,-2.823054004,0.804778768,0.190343099,0.004878133,,-2.788811666,-1.156247189,0.681000229,0.315440923,0.003558848,,-1.879033686,-1.77666311,0.351257447,0.641409127,0.007333426,,2.116376249,-0.157830757,0.014917387,0.558654659,0.426427954,,-0.047127986,2.69250535,0.028340414,0.964492692,0.007166894,,2.338993987,-0.887495616,0.035956994,0.954542912,0.009500093,,2.569904475,1.445368675,0.561713589,0.434196652,0.004089758,,0.519297349,0.166545357,0.310214692,0.003942602,calcium,calcium-sodium,,0.019803699,0.521215235,0.45379188,0.005189187,chloride,chloride-bicarbonate,calcium-chloride,calcium-sodium chloride-bicarbonate,,6.259555308,acceptable
43,Visakhapatnam,VO15,136,48,181.2,4,70,150,580,30, ,6.786765807,3.949804567,7.881766789,0.102306238,1.457483135,4.231311707,9.505703422,0.999866684, ,3.393382903,1.974902283,7.881766789,0.102306238,0.728741567,4.231311707,9.505703422,0.499933342,sodium,bicarbonate,sodium-bicarbonate, ,-0.134043781,-1.518076951,2.826259766,0.862911252,-0.896036902,-1.705416839,1.239755645,,1.17382152,0.898529146,0.150243965,0.049787134,0.799968901,,-0.574317219,-3.483434738,0.721339415,0.27707379,0.001586795,,-3.363313428,-2.934571892,0.172738309,0.826954178,0.000307513,,-2.514344951,-3.484085174,0.078049418,0.921594026,0.000356556,,2.425503914,0.794653389,0.007134501,0.18100547,0.811860029,,0.169265621,2.176490721,0.040823049,0.939414821,0.01976213,,2.680552633,-1.549042687,0.009155778,0.986395326,0.004448896,,2.931442057,0.570145576,0.183302069,0.813188655,0.003509276,,0.261080422,0.101227585,0.637129276,0.000562716,sodium,sodium-calcium,,0.014278332,0.32593059,0.652861002,0.006930076,bicarbonate,bicarbonate-chloride,sodium-bicarbonate,sodium-calcium bicarbonate-chloride,,7.235508661,acceptable
44,Visakhapatnam,VO16,64,8,157.6,3.8,12,110,240,10, ,3.193772144,0.658300761,6.855223212,0.097190926,0.249854252,3.102961918,3.933394519,0.333288895, ,1.596886072,0.329150381,6.855223212,0.097190926,0.124927126,3.102961918,3.933394519,0.166644447,sodium,bicarbonate,sodium-bicarbonate, ,0.808826842,-2.227424581,2.028664214,1.777610998,-1.43477082,-1.671916505,1.489479087,,2.2864681,2.291130238,0.049485131,0.00208764,0.948427229,,0.911577555,-2.381562805,0.945267583,0.0462626,0.008469817,,-2.540182285,-3.265546636,0.052481388,0.947071561,0.000447051,,-0.581872737,-4.242800714,0.003077941,0.996445755,0.000476305,,3.666576524,0.228419024,0.001178875,0.387460923,0.611360203,,1.128392314,3.144043784,0.003257217,0.990941096,0.005801687,,2.683527411,-2.404705545,0.002087152,0.994233271,0.003679577,,3.116744859,1.285080938,0.385642234,0.612329725,0.002028042,,0.261808526,0.012857045,0.722986136,0.002348293,sodium,sodium-calcium,,0.001630811,0.441011063,0.5544808,0.002877326,bicarbonate,bicarbonate-chloride,sodium-bicarbonate,sodium-calcium bicarbonate-chloride,,17.28717852,imbalance too high
45,Visakhapatnam,VO17,80,32,151,3.7,69,170,280,20, ,3.99221518,2.633203045,6.568138991,0.094633271,1.436661947,4.795486601,4.588960273,0.66657779, ,1.99610759,1.316601522,6.568138991,0.094633271,0.718330974,4.795486601,4.588960273,0.333288895,sodium,chloride,sodium-chloride, ,-0.00599188,-1.613168602,2.6268081,0.599886782,-1.298613252,-1.254591546,1.367807545,,1.481914183,0.840905645,0.090392725,0.038312356,0.871294919,,-0.561118933,-3.073272875,0.675746909,0.321114512,0.003138579,,-2.956949714,-3.056191294,0.103986835,0.895612341,0.000400824,,-2.209633502,-3.51766661,0.054096266,0.945466154,0.000437579,,2.11849872,-0.03283776,0.015017525,0.501826232,0.483156243,,-0.112957523,2.679143943,0.031437756,0.961476368,0.007085876,,2.475690841,-0.895516069,0.032239066,0.960384385,0.007376549,,2.701568071,1.381329333,0.508709371,0.487729293,0.003561336,,0.217531617,0.103380784,0.678093354,0.000994245,sodium,sodium,,0.019673587,0.493002993,0.48281748,0.00450594,chloride,chloride-bicarbonate,sodium-chloride,sodium chloride-bicarbonate,,7.267165029,acceptable
46,Visakhapatnam,VO18,72,40,46.7,4.8,12,50,340,10, ,3.592993662,3.291503806,2.03133835,0.122767486,0.249854252,1.410437236,5.572308903,0.333288895, ,1.796496831,1.645751903,2.03133835,0.122767486,0.124927126,1.410437236,5.572308903,0.166644447,sodium,bicarbonate,sodium-bicarbonate, ,-0.76256493,-0.973062428,1.833095503,1.815657138,-0.608267319,-1.98217706,1.527525227,,0.535944872,0.277097863,0.243772319,0.190049429,0.566178252,,-0.748171973,-2.385085775,0.497406395,0.493762377,0.008831228,,-2.228664479,-1.78409034,0.311340849,0.683922975,0.004736177,,-2.052990818,-1.997691605,0.32128744,0.674081812,0.004630748,,3.271900786,1.345514916,0.001222587,0.073777275,0.925000138,,0.859774756,2.114186968,0.017620808,0.950916318,0.031462874,,2.861595456,-2.559227565,0.001401554,0.996051855,0.002546591,,3.223950073,0.081064197,0.072839518,0.924982926,0.002177555,,0.263129891,0.251274811,0.48104576,0.004549538,sodium,sodium-calcium,,0.005061237,0.274383278,0.71150873,0.009046755,bicarbonate,bicarbonate-chloride,sodium-bicarbonate,sodium-calcium bicarbonate-chloride,,8.869370816,acceptable
47,Visakhapatnam,VO19,152,16,29.5,0.7,7,100,260,30, ,7.585208843,1.316601522,1.283179472,0.017903592,0.145748313,2.820874471,4.261177396,0.999866684, ,3.792604421,0.658300761,1.283179472,0.017903592,0.072874157,2.820874471,4.261177396,0.499933342,calcium,bicarbonate,calcium-bicarbonate, ,-0.042426962,-0.709861291,3.562233601,2.158500875,-1.497567264,-1.910065837,0.232760174,,-0.624185861,1.731009096,0.862665961,0.027242837,0.110091202,,0.182930295,-5.194497676,0.964997004,0.034935979,6.70E-05,,-5.211698652,-1.753958516,0.893149349,0.10680353,4.71E-05,,-3.225838855,-3.051732139,0.265211758,0.734447551,0.000340692,,4.401511592,0.383935415,0.000339745,0.320914804,0.678745451,,2.672251031,2.391606639,0.001049813,0.952384171,0.046566016,,1.596727487,-3.686943481,0.000497197,0.978503617,0.020999186,,2.151996488,0.623283735,0.316016971,0.671389747,0.012593282,,0.680203078,0.081847643,0.237835571,0.000113708,calcium,calcium,,0.000471689,0.397328986,0.582159704,0.020039621,bicarbonate,bicarbonate-chloride,calcium-bicarbonate,calcium bicarbonate-chloride,,10.71712705,imbalance too high
48,Visakhapatnam,VO20,112,128,31.4,3.8,2,120,620,40, ,5.589101253,10.53281218,1.365824929,0.097190926,0.041642375,3.385049365,10.16126918,1.333155579, ,2.794550626,5.266406089,1.365824929,0.097190926,0.020821188,3.385049365,10.16126918,0.66657779,magnesium,bicarbonate,magnesium-bicarbonate, ,-1.670064499,-0.320474916,2.322361595,3.863067848,-1.228084815,-2.327299679,0.396882107,,-0.561381909,-0.740445976,0.215916716,0.667032336,0.117050948,,-1.772387071,-3.139298014,0.195052118,0.803619696,0.001328187,,-2.797522128,-1.209590604,0.663993646,0.332591872,0.003414482,,-3.474796903,-1.124091185,0.896734177,0.102239868,0.001025955,,6.107306597,1.054828915,1.45E-05,0.118697646,0.881287848,,4.306770872,2.361423869,0.00011246,0.896352196,0.103535344,,1.566451408,-5.66266001,1.66E-05,0.985615625,0.014367741,,2.353142599,-0.053984112,0.113842489,0.875750497,0.010407014,,0.26874062,0.591846552,0.137970672,0.001442156,magnesium,magnesium-calcium,,3.59E-05,0.282223083,0.685663493,0.032077525,bicarbonate,bicarbonate-chloride,magnesium-bicarbonate,magnesium-calcium bicarbonate-chloride,,8.194822617,acceptable
49,Visakhapatnam,VO21,136,16,153.1,18,36,210,380,20, ,6.786765807,1.316601522,6.65948397,0.460378073,0.749562755,5.923836389,6.227874656,0.66657779, ,3.393382903,0.658300761,6.65948397,0.460378073,0.374781378,5.923836389,6.227874656,0.333288895,sodium,bicarbonate,sodium-bicarbonate, ,0.849584632,-1.464550736,1.207198493,1.41290368,-1.347493014,-1.397543864,1.530236877,,1.442295572,2.141290075,0.182240785,0.006906465,0.81085275,,1.260035421,-1.53353674,0.926623686,0.039314567,0.034061747,,-1.76083251,-1.939545437,0.182955709,0.810270392,0.006773899,,0.132983693,-2.881653482,0.010626671,0.981176484,0.008196845,,3.052383509,0.051190127,0.003288667,0.467640154,0.529071179,,0.657192712,2.994691187,0.007481775,0.986517103,0.006001122,,2.546758713,-1.790087269,0.006665612,0.987904708,0.00542968,,2.897125801,1.372521541,0.465014083,0.53229617,0.002689747,,0.322955045,0.014211926,0.650574907,0.012258123,sodium,sodium-calcium,,0.004359014,0.479792835,0.512318014,0.003530137,bicarbonate,bicarbonate-chloride,sodium-bicarbonate,sodium-calcium bicarbonate-chloride,,5.749620115,acceptable
50,Visakhapatnam,VO23,128,40,264.5,13.6,59,110,720,40, ,6.387544289,3.291503806,11.50511764,0.34784121,1.228450071,3.102961918,11.80018356,1.333155579, ,3.193772144,1.645751903,11.50511764,0.34784121,0.614225035,3.102961918,11.80018356,0.66657779,sodium,bicarbonate,sodium-bicarbonate, ,0.221010472,-1.723584113,1.77521703,1.206601746,-0.413149278,-1.748907252,1.124806268,,1.78597731,1.189500376,0.065909322,0.016870201,0.917220477,,0.036532602,-2.006506889,0.755836226,0.224765049,0.019398724,,-2.010093566,-2.749721776,0.071364201,0.926979314,0.001656485,,-1.061428515,-3.233186139,0.023667182,0.974554502,0.001778316,,2.505686621,1.298008034,0.004443627,0.080097208,0.915459165,,0.501479773,1.59473787,0.053002235,0.884202667,0.062795099,,2.483506822,-1.982762582,0.005007114,0.989128487,0.005864399,,2.745019748,-0.089331004,0.080886882,0.913930018,0.0051831,,0.223277437,0.066325608,0.704688573,0.005708381,sodium,sodium,,0.015613244,0.261296689,0.704629417,0.01846065,bicarbonate,bicarbonate-chloride,sodium-bicarbonate,sodium bicarbonate-chloride,,10.42972805,imbalance too high
51,Visakhapatnam,VO24,56,56,16,1.2,19,130,180,10, ,2.794550626,4.608105328,0.695961747,0.030691872,0.395602565,3.667136812,2.95004589,0.333288895, ,1.397275313,2.304052664,0.695961747,0.030691872,0.197801283,3.667136812,2.95004589,0.166644447,magnesium,chloride,magnesium-chloride, ,-1.29819179,-0.101061609,3.020235241,1.156970185,-1.762933388,-1.545342916,1.328370603,,-0.820387297,-0.698337259,0.258285278,0.656408202,0.085306521,,-1.86912972,-3.99389067,0.250000026,0.749630739,0.000369235,,-3.625602863,-1.378799998,0.769861465,0.229315693,0.000822842,,-4.05208986,-1.456411551,0.909931802,0.089740394,0.000327803,,3.131186776,-0.189893012,0.002852117,0.578624339,0.418523544,,0.670525757,3.232514743,0.005382945,0.990672949,0.003944105,,2.547787805,-1.741730192,0.007238807,0.987286274,0.005474919,,2.905592366,1.644730581,0.575078904,0.422750901,0.002170195,,0.319536692,0.578992686,0.101090652,0.00037997,magnesium,magnesium-calcium,,0.003868467,0.536094048,0.45714018,0.002897305,chloride,chloride-bicarbonate,magnesium-chloride,magnesium-calcium chloride-bicarbonate,,5.061169563,acceptable
52,Visakhapatnam,VO25,56,72,99.6,3.2,47,80,420,20, ,2.794550626,5.92470685,4.332361877,0.081844991,0.978595819,2.256699577,6.883440409,0.66657779, ,1.397275313,2.962353425,4.332361877,0.081844991,0.48929791,2.256699577,6.883440409,0.333288895,sodium,bicarbonate,sodium-bicarbonate, ,-0.921835847,-1.30196468,2.667076359,0.878931934,-0.649755201,-1.764970405,1.262893794,,1.145450503,-0.471459478,0.063844711,0.260818952,0.675336337,,-1.824024321,-3.001315249,0.169238239,0.829244976,0.001516785,,-2.651854104,-2.917091417,0.097890331,0.901436967,0.000672702,,-3.176757746,-2.777184795,0.340797865,0.658696671,0.000505464,,2.291681209,1.098772791,0.007294318,0.11173261,0.880973071,,0.086364757,1.879451408,0.065141165,0.903616663,0.031242172,,2.715030975,-1.570273873,0.008609367,0.987237575,0.004153058,,2.940976984,0.233386416,0.113204877,0.88319524,0.003599883,,0.08274332,0.357715448,0.558867494,0.000673738,sodium,sodium-magnesium,,0.020261213,0.282138538,0.687851472,0.009748778,bicarbonate,bicarbonate-chloride,sodium-bicarbonate,sodium-magnesium bicarbonate-chloride,,9.817185293,acceptable
53,Visakhapatnam,VO26,64,48,60.4,2.6,83,110,100,40, ,3.193772144,3.949804567,2.627255596,0.066499055,1.728158574,3.102961918,1.638914383,1.333155579, ,1.596886072,1.974902283,2.627255596,0.066499055,0.864079287,3.102961918,1.638914383,0.66657779,sodium,chloride,sodium-chloride, ,-0.620687833,-0.906108714,2.770398631,0.205921835,-1.072526025,-0.434202973,0.46542952,,0.435194589,-0.102502535,0.205336096,0.307818647,0.486845257,,-1.347455344,-3.433286059,0.38292782,0.615798313,0.001273867,,-3.173972184,-2.307797289,0.324885377,0.674290096,0.000824527,,-3.150299497,-2.489648179,0.436429378,0.562852908,0.000717714,,1.124244045,-0.625664026,0.062003391,0.711498224,0.226498385,,0.155077514,1.635486896,0.079183888,0.872297482,0.04851863,,0.879189238,-0.341763614,0.195941493,0.683968577,0.12008993,,1.026866026,1.205504472,0.729336958,0.232147818,0.038515225,,0.228287323,0.340011584,0.430997065,0.000704027,sodium,sodium-magnesium,,0.084282193,0.578283166,0.285653695,0.051780946,chloride,chloride-bicarbonate,sodium-chloride,sodium-magnesium chloride-bicarbonate,,11.53106994,imbalance too high
54,Visakhapatnam,VO27,80,40,185.6,3.8,78,210,320,60, ,3.99221518,3.291503806,8.07315627,0.097190926,1.624052636,5.923836389,5.244526026,1.999733369, ,1.99610759,1.645751903,8.07315627,0.097190926,0.812026318,5.923836389,5.244526026,0.999866684,sodium,chloride,sodium-chloride, ,0.023637178,-1.566709975,2.852912463,0.73005707,-1.257149736,-1.135350329,0.521967866,,1.492002351,0.604317048,0.078053927,0.051398078,0.870547996,,-0.830253676,-3.243637286,0.586273858,0.411498422,0.00222772,,-3.089300381,-3.208851846,0.093266234,0.906453815,0.000279951,,-2.523214559,-3.58254764,0.068635289,0.931061946,0.000302765,,2.294691982,-0.12334263,0.01122781,0.544889967,0.443882223,,0.772664304,2.099588102,0.020172334,0.948943208,0.030884459,,1.548662399,-1.432498369,0.024682262,0.938727527,0.036590211,,1.818231835,1.043918142,0.545656379,0.438192767,0.016150854,,0.189398505,0.132882947,0.677015939,0.000702609,sodium,sodium,,0.014020601,0.509872388,0.455200629,0.020906381,chloride,chloride-bicarbonate,sodium-chloride,sodium chloride-bicarbonate,,2.188431746,acceptable
55,Visakhapatnam,VO28,112,32,60.5,3,20,110,260,20, ,5.589101253,2.633203045,2.631605357,0.076729679,0.416423753,3.102961918,4.261177396,0.66657779, ,2.794550626,1.316601522,2.631605357,0.076729679,0.208211876,3.102961918,4.261177396,0.333288895,calcium,bicarbonate,calcium-bicarbonate, ,-0.32295251,-1.01549276,2.519568001,1.521300383,-1.180255811,-1.497444204,1.050846915,,0.345679627,0.919779269,0.420265716,0.0919392,0.487795083,,-0.330962009,-3.40821095,0.793506518,0.204682402,0.00181108,,-3.329629702,-1.998102852,0.480041488,0.519054142,0.00090437,,-2.387580017,-2.643528,0.206985189,0.791610475,0.001404335,,3.130654715,0.307599914,0.002781825,0.353330318,0.643887857,,1.134373978,2.420468605,0.008261524,0.970619959,0.021118517,,2.095097564,-2.206630453,0.004505145,0.983970414,0.01152444,,2.471624694,0.870226867,0.349358302,0.643820979,0.006820719,,0.42345343,0.125901698,0.449614925,0.001029947,sodium,sodium-calcium,,0.003887124,0.418327145,0.567919813,0.009865919,bicarbonate,bicarbonate-chloride,sodium-bicarbonate,sodium-calcium bicarbonate-chloride,,12.81621761,imbalance too high
56,Visakhapatnam,VO29,168,16,271,7.6,91,290,420,70, ,8.383651879,1.316601522,11.7878521,0.194381853,1.894728075,8.180535966,6.883440409,2.333022264, ,4.191825939,0.658300761,11.7878521,0.194381853,0.947364038,8.180535966,6.883440409,1.166511132,sodium,chloride,sodium-chloride, ,1.164968818,-1.720194068,2.38480619,0.800947298,-1.35488222,-1.182243137,0.592858094,,1.58548929,2.381911894,0.163883808,0.004254059,0.831862133,,1.063192806,-2.966801661,0.971451133,0.025757329,0.002791538,,-3.165832667,-2.81422944,0.173557545,0.825993346,0.000449109,,-0.884334898,-3.996806475,0.006242588,0.993187579,0.000569834,,2.488147279,-0.17948374,0.008145149,0.571753214,0.420101637,,0.826928078,2.324068167,0.014143969,0.964383423,0.021472608,,1.682225404,-1.528768961,0.019195784,0.952546237,0.02825798,,1.973858427,1.18508254,0.573361683,0.415027422,0.011610894,,0.327223121,0.009063494,0.662760764,0.00095262,sodium,sodium-calcium,,0.010371225,0.52737458,0.446918824,0.01533537,chloride,chloride-bicarbonate,sodium-chloride,sodium-calcium chloride-bicarbonate,,5.834793152,acceptable
57,Visakhapatnam,VO30,80,40,120.1,6.1,17,210,280,20, ,3.99221518,3.291503806,5.224062866,0.156017014,0.35396019,5.923836389,4.588960273,0.66657779, ,1.99610759,1.645751903,5.224062866,0.156017014,0.176980095,5.923836389,4.588960273,0.333288895,sodium,chloride,sodium-chloride, ,-0.316065391,-1.471143453,2.03992219,1.913849984,-1.596852305,-1.341521505,1.280877586,,1.357453878,0.592878203,0.09605482,0.060770017,0.843175163,,-0.584207494,-2.351682768,0.565229786,0.424803671,0.009966543,,-2.230976313,-2.583821208,0.110580793,0.887733881,0.001685325,,-1.819762632,-2.865806866,0.089868445,0.908414788,0.001716767,,3.673094329,-0.247536601,0.001163914,0.604675378,0.394160708,,1.494940013,3.126726838,0.002028682,0.990801445,0.007169873,,2.08866957,-2.412465943,0.003172926,0.985670084,0.01115699,,2.547275825,1.523839839,0.597761362,0.398288399,0.003950239,,0.19296635,0.143860533,0.659830958,0.003342159,sodium,sodium,,0.001591381,0.548309546,0.444529798,0.005569275,chloride,chloride-bicarbonate,sodium-chloride,sodium chloride-bicarbonate,,4.671893157,acceptable
