,identification,Ca,Mg,Na,K,SO4,Cl,HCO3,CO3,Ca_mmol,Mg_mmol,Na_mmol,K_mmol,SO4_mmol,Cl_mmol,HCO3_mmol,CO3_mmol,GMC,7 hlr (b),7 hlr (b+h),Catboost (b),Catboost (b+h),SVM-L (b),SVM-L (b+h),SVM-P (b),SVM-P (b+h),SVM-RBF (b),SVM-RBF (b+h)
119,DLTLA5343-010418,32.3566,30.7312,23.6723,4.13031,83.915,11.520999999999999,99.0,19.8,0.807340686,1.264398272,1.029688455,0.10563912,0.87360498,0.324992948,1.622525239,0.329956006,Mg-HCO3,Mg-HCO3,Mg-Na-HCO3-SO4,Mg-HCO3,Mg-HCO3,Mg-HCO3,Mg-HCO3,Mg-HCO3,Mg-HCO3,Mg-HCO3,Mg-HCO3
120,DLTLA5344-021016,11.2353,18.29363,234.608,23.3255,13.640999999999998,41.69,574.0,56.0,0.280335845,0.75266941,10.2048871,0.596586041,0.14201091,1.176022567,9.407368559,0.933208905,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
121,DLTLA5345-111118,168.898,42.4215,42.7531,15.7462,26.011,11.06,610.0,20.0,4.214232247,1.745381609,1.859657636,0.402733623,0.270789956,0.31198871699999997,9.997377737,0.333288895,Ca-HCO3,Ca-HCO3,Ca-Na-HCO3,Na-HCO3,Na-Mg-HCO3,Ca-HCO3,Ca-HCO3,Ca-HCO3,Ca-HCO3,Na-HCO3,Na-HCO3
122,DLTLA5345-021016,174.787,41.876000000000005,46.9114,16.3824,36.65,15.88,614.0,36.0,4.361170717,1.7229376669999998,2.040533745,0.41900543,0.38154826399999997,0.447954866,10.06293431,0.599920011,Ca-HCO3,Ca-HCO3,Ca-Na-HCO3,Na-HCO3,Na-HCO3,Ca-HCO3,Ca-HCO3,Ca-HCO3,Ca-HCO3,Na-HCO3,Na-HCO3
123,DLTLA6375-100219,32.8779,22.0001,36.0484,4.95257,31.629,12.442,178.0,30.0,0.820347822,0.9051676609999999,1.568019216,0.126669702,0.329276672,0.35097320200000004,2.917267602,0.499933342,Na-HCO3,Na-HCO3,Na-Mg-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
124,DLTLA6381-100219,37.3732,22.6065,48.1127,10.4014,12.865,12.902999999999999,210.0,40.0,0.932511602,0.93011726,2.0927874230000003,0.266032027,0.133932289,0.36397743299999996,3.441720205,0.66657779,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
125,DLZAC2609M1-030515,55.87,10.59,36.32,22.93,31.26547,13.26,203.52,16.96,1.3940316380000002,0.435712816,1.5798331669999999,0.586470512,0.325492109,0.374047955,3.335518553,0.282628983,Na-HCO3,Na-HCO3,Na-Ca-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
126,DLZAC2623M1-170515,25.76,19.7,56.1,2.404,28.06959,9.15,191.86,10.6,0.642746644,0.810532812,2.440215877,0.061486049,0.29222109999999996,0.258110014,3.144421135,0.176643114,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
127,DLZAC2643-080215,132.3,7.726,11.75,1.344,137.04349,19.33,212.0,10.6,3.301062927,0.31787698,0.511096908,0.034374896,1.42670411,0.545275035,3.474498492,0.176643114,Ca-HCO3,Ca-HCO3,Ca-HCO3-SO4,Ca-HCO3,Ca-HCO3,Ca-HCO3,Ca-HCO3,Ca-HCO3,Ca-HCO3,Ca-HCO3,Ca-HCO3
128,DLZAC2659-080215,4.772,0.836,509.4,33.32,191.32826,50.92,610.65,124.2,0.119067818,0.034396215,22.15768213,0.8522109659999999,1.991840801,1.4363892809999999,10.00803068,2.069724037,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
129,DLZAC2659-010919,3.237,0.6645,608.2,25.17,203.4686,55.9259,616.2,28.44,0.080767503,0.027340053,26.45524592,0.643762005,2.11822895,1.5775994359999999,10.09899043,0.473936808,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
130,DLZAC2659-091016,3.3689999999999998,0.5647,664.7,33.67,311.6582,59.41,551.18,169.26,0.084061081,0.023233902,28.91286084,0.8611627620000001,3.2445469310000004,1.6758815230000002,9.033368297,2.820623917,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
131,DLZAC2659-291017,4.513999999999999,0.6692,461.4,25.98,242.5813,62.236000000000004,540.8,83.2,0.11263037099999999,0.027533428999999998,20.06979689,0.664479018,2.525415383,1.755599436,8.863248984,1.3864818019999998,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
132,DLZAC2659-270518,3.055,0.5707,632.6,30.15,246.64,71.4672,684.7,106.6,0.07622635900000001,0.023480765,27.51658759,0.771133272,2.56766886,2.016,11.22164678,1.7764298090000001,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
133,DLZAC2659-091218,4.62,0.7779,712.6,34.2,246.1051,71.9422,741.2,95.92,0.115275213,0.03200576,30.99639632,0.874718338,2.5621002330000002,2.029399154,12.14763341,1.59845354,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
134,OCBAL2810-281012,132.7,46.8,74.76,5.605,249.26,25.93,349.86,46.92,3.311043465,1.925529726,3.251881265,0.143356617,2.594944616,0.73145275,5.733905861,0.781895747,Ca-HCO3,Ca-HCO3,Ca-Na-HCO3-SO4,Na-HCO3,Na-Ca-HCO3,Ca-HCO3,Ca-Na-HCO3,Ca-HCO3,Ca-Na-HCO3,Na-HCO3,Na-HCO3
135,OCBAL2866-180218,132.563,31.0773,50.8655,13.5061,102.195,37.79,336.0,36.0,3.3076251310000004,1.27863814,2.212527641,0.34543957200000003,1.063910635,1.066008463,5.506752327,0.599920011,Ca-HCO3,Ca-HCO3,Ca-Na-HCO3,Na-HCO3,Na-Ca-HCO3,Ca-HCO3,Ca-HCO3,Ca-HCO3,Ca-HCO3,Ca-HCO3,Ca-HCO3
136,OCBAL2866-041118,151.674,35.659,54.9845,14.1854,140.168,39.172,293.0,62.0,3.784470283,1.4671466780000002,2.391694294,0.36281372799999995,1.459232115,1.104992948,4.802019143,1.033195574,Ca-HCO3,Ca-HCO3,Ca-Na-HCO3,Ca-HCO3,Ca-HCO3,Ca-HCO3,Ca-HCO3,Ca-HCO3,Ca-HCO3,Ca-HCO3,Ca-HCO3
137,OCBAL2875-041118,84.0685,18.8104,34.3493,3.6627699999999996,39.157,27.19,236.0,20.0,2.0976221369999997,0.77393129,1.4941124280000002,0.093681055,0.40764762200000004,0.7669957690000001,3.8678379439999997,0.333288895,Ca-HCO3,Ca-HCO3,Ca-Na-HCO3,Na-HCO3,Na-HCO3,Ca-HCO3,Ca-HCO3,Ca-HCO3,Ca-HCO3,Na-HCO3,Na-HCO3
138,OCCCN5258M1-290418,42.5,1.147,50.919,3.282,50.4714,18.2497,101.365,16.72,1.060432157,0.047191936,2.214854763,0.083942269,0.525437245,0.514801128,1.6612855640000002,0.278629516,Na-HCO3,Na-HCO3,Na-Ca-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
139,OCCCN5779-240219,5.638,1.075,176.3,2.682,87.1425,24.7016,214.0,34.24,0.140675682,0.044229582,7.668628504,0.068596333,0.9072051720000001,0.6968011279999999,3.50727678,0.570590588,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
140,OCCCN5882-170219,3.0789999999999997,0.0973,188.7,3.575,102.3017,32.0645,43.0,107.5,0.076825191,0.004003292,8.207998858,0.091436201,1.065021446,0.904499295,0.704733185,1.79142781,Na-CO3,Na-Cl,Na-Cl-CO3,Na-CO3,Na-Ca-CO3,Na-CO3,Na-CO3,Na-CO3,Na-CO3,Na-CO3,Na-CO3
141,OCCCN5940-240219,3.31,0.42,282.5,2.521,182.1509,47.3789,184.9,38.7,0.08258895200000001,0.017280395,12.2880746,0.064478507,1.896299034,1.336499295,3.030352694,0.644914011,Na-HCO3,Na-HCO3,Na-HCO3-Cl,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
142,OCGCE3259-090815,54.46,29.41,33.57,2.303,26.858,43.67,162.0,32.0,1.358850242,1.210039087,1.460214741,0.058902817,0.27960772899999997,1.231875882,2.655041301,0.533262232,Na-HCO3,Na-HCO3,Na-Ca-HCO3-Cl,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-Ca-HCO3,Na-HCO3,Na-HCO3
143,OCGCE3261-181118,56.7164,25.1999,54.4813,6.08875,20.393,56.684,256.0,44.0,1.415150457,1.036819584,2.369806297,0.155729277,0.21230324,1.598984485,4.195620821,0.7332355690000001,Na-HCO3,Na-HCO3,Na-Ca-HCO3-Cl,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
144,OCGCE3261-261014,66.623,32.584,52.968,6.8260000000000005,34.91,62.5,266.0,36.0,1.66233345,1.3406295,2.303981365,0.174585596,0.36343383,1.763046544,4.359512259,0.599920011,Na-HCO3,Na-HCO3,Na-Ca-HCO3-Cl,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
145,OCGCE3261-090815,64.21,30.37,62.2,7.343,5.152,62.53,243.0,38.0,1.602125855,1.249537132,2.705551293,0.18780867699999998,0.053635379000000004,1.763892807,3.982561951,0.6332489,Na-HCO3,Na-HCO3,Na-HCO3-Cl,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
146,OCGCE3326-010418,78.7469,9.79412,23.0839,3.8572,18.387,25.346999999999998,176.22,43.56,1.96484106,0.402967291,1.004094461,0.098653906,0.19141958899999997,0.715007052,2.8880949260000004,0.7259032129999999,Ca-HCO3,Ca-HCO3,Ca-Na-HCO3,Ca-HCO3,Ca-HCO3,Ca-HCO3,Ca-HCO3,Ca-HCO3,Ca-HCO3,Ca-HCO3,Ca-HCO3
147,OCGCE3344M1-150718,50.611000000000004,18.9915,16.4618,2.9875599999999998,12.452,18.434,169.74,18.63,1.2628125159999999,0.781382432,0.716048943,0.07641150599999999,0.129632714,0.52,2.7818932739999997,0.310458606,Ca-HCO3,Ca-HCO3,Ca-Mg-HCO3,Mg-HCO3,Mg-Na-HCO3,Ca-HCO3,Ca-HCO3,Ca-HCO3,Ca-HCO3,Mg-HCO3,Mg-HCO3
148,OCGCE3344M1-281018,49.0396,17.1865,20.3281,2.68602,14.100999999999999,22.581,190.0,16.0,1.223603972,0.7071178770000001,0.88422375,0.068699151,0.14679978300000002,0.636981664,3.113937328,0.266631116,Ca-HCO3,Ca-HCO3,Ca-Na-HCO3,Na-HCO3,Na-HCO3,Ca-HCO3,Ca-HCO3,Ca-HCO3,Ca-HCO3,Na-HCO3,Na-HCO3
149,OCGCE3377-181118,50.3775,12.3246,13.9246,4.71748,36.010999999999996,34.563,145.0,18.0,1.256986377,0.507080848,0.6056868089999999,0.12065690800000001,0.374895894,0.9749788429999999,2.376425856,0.299960005,Ca-HCO3,Ca-HCO3,Ca-HCO3-Cl,Ca-HCO3,Ca-HCO3,Ca-HCO3,Ca-HCO3,Ca-HCO3,Ca-HCO3,Ca-HCO3,Ca-HCO3
150,OCGCE5351-030416,29.57,12.9,54.93,5.122000000000001,25.261,17.87,101.0,46.0,0.737811268,0.530754989,2.389323674,0.13100313800000002,0.26298201,0.504090268,1.6553035269999998,0.766564458,Na-HCO3,Na-HCO3,Na-HCO3-CO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
151,OCGCE5351-220418,38.4117,27.2067,143.589,14.5132,13.104000000000001,40.094,270.71,40.66,0.9584235740000001,1.1193869570000001,6.245778209,0.371197725,0.136420421,1.13100141,4.436705127,0.6775763229999999,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
152,OCGNO3571-060414,106.85600000000001,10.557,18.725,1.525,89.76,12.0,284.0,20.0,2.666200908,0.43435507100000004,0.814492732,0.039004252999999996,0.934454901,0.338504937,4.654516848,0.333288895,Ca-HCO3,Ca-HCO3,Ca-HCO3,Ca-HCO3,Ca-HCO3,Ca-HCO3,Ca-HCO3,Ca-HCO3,Ca-HCO3,Ca-HCO3,Ca-HCO3
153,OCGNO3580-060414,120.579,15.203,30.628,1.946,34.58,15.0,356.0,18.0,3.0086082139999997,0.625509154,1.332244775,0.049771985,0.359998334,0.42313117100000003,5.834535204,0.299960005,Ca-HCO3,Ca-HCO3,Ca-Na-HCO3,Ca-HCO3,Ca-Na-HCO3,Ca-HCO3,Ca-HCO3,Ca-HCO3,Ca-HCO3,Ca-HCO3,Ca-HCO3
154,OCLSP3699-060518,12.26,5.282,87.416,8.4644,13.1892,19.7669,159.65,18.54,0.305903488,0.21732153899999998,3.802387007,0.216490231,0.137307404,0.5575994360000001,2.616526813,0.308958805,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
155,OCLSP3792-190415,2.653,0.2788,143.5,11.0,33.58498,27.82,257.5,41.2,0.06619591799999999,0.011470891,6.241906922,0.281342156,0.349639585,0.784767278,4.220204537,0.686575123,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
156,OCLSP3792-030618,3.4389999999999996,0.2825,119.3,14.46,29.2163,31.2669,248.64,44.16,0.085807675,0.011623123,5.189264779,0.36983705200000005,0.304159032,0.882,4.074996722,0.73590188,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
157,OCLSP3792-161218,4.909,0.3578,150.82,16.575,49.8208,38.9276,284.49,37.06,0.12248615199999999,0.014721251000000001,6.560309421,0.423931475,0.5186641129999999,1.0980987309999999,4.662547528999999,0.617584322,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
158,OCLSP3826-160619,4.44,0.4512,118.5,4.315,68.1032,23.6841,157.29,44.94,0.110783971,0.018564081,5.154466692,0.110362855,0.7089947529999999,0.6680987310000001,2.577848433,0.7489001470000001,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
159,OCLSP5505-111118,5.12,0.5249,136.5,15.61,4.6464,25.7402,202.0,30.3,0.127750886,0.021596379,5.937423657,0.399250095,0.048371783,0.7260987309999999,3.3106070539999997,0.504932676,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
160,OCNOR4008-231218,4.5680000000000005,2.4,101.1,1.439,12.5744,17.7179,73.03,71.94,0.113977743,0.09874511400000001,4.397608291,0.036804669,0.13090697099999998,0.49979971799999995,1.1968991740000001,1.198840155,Na-CO3,Na-HCO3,Na-HCO3-CO3,Na-HCO3,Na-HCO3-CO3,Na-HCO3,Na-HCO3-CO3,Na-HCO3,Na-HCO3-CO3,Na-HCO3,Na-HCO3-CO3
161,OCNOR4008-211012,3.659,1.922,70.56,0.4414,13.792,17.9164,95.55,49.14,0.09129697099999999,0.079078379,3.0691913060000005,0.011289493000000001,0.14358291,0.505399154,1.565982693,0.818890815,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
162,OCNOR4008-110218,3.532,1.9480000000000002,75.3,0.9338,12.9298,22.493000000000002,61.48,80.56,0.08812815,0.080148118,3.2753699739999997,0.023883391,0.134606896,0.634499295,1.007604563,1.3424876680000002,Na-CO3,Na-HCO3,Na-HCO3-CO3,Na-CO3,Na-CO3,Na-CO3,Na-CO3,Na-CO3,Na-CO3,Na-CO3,Na-CO3
163,OCNOR4008-030716,7.501,4.272,90.28,1.36,11.2874,27.0,91.96,45.98,0.187160038,0.175766303,3.92696416,0.034784121,0.117508537,0.7616361070000001,1.5071456669999999,0.7662311690000001,Na-HCO3,Na-HCO3,Na-HCO3-Cl,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
164,OCNOR4018-080418,226.6,33.74,127.62,8.6647,331.3255,51.0055,311.41,12.54,5.653974749,1.38819173,5.551164888,0.221613216,3.449295203,1.4388011280000002,5.10374328,0.208972137,Ca-HCO3,Na-HCO3,Na-Ca-HCO3-SO4,Na-HCO3,Na-HCO3,Ca-HCO3,Ca-Na-HCO3,Na-HCO3,Na-Ca-HCO3,Na-HCO3,Na-HCO3
165,OCNOR4040-070615,7.314,1.4,141.1,1.798,85.95606,74.77,90.78,20.4,0.182494136,0.057601317,6.13751266,0.045986654,0.894853627,2.1091678419999997,1.487806477,0.339954673,Na-Cl,Na-Cl,Na-Cl-HCO3,Na-Cl,Na-Cl,Na-Cl,Na-Cl,Na-Cl,Na-Cl,Na-Cl,Na-Cl
166,OCNOR4045-231218,3.302,0.2238,130.7,1.485,30.308000000000003,34.5921,124.26,47.96,0.08238934099999999,0.009207982,5.685137524,0.037981191,0.315524278,0.975799718,2.0365150119999997,0.79922677,Na-HCO3,Na-HCO3,Na-HCO3-Cl,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
167,OCNOR4063-231218,1.775,0.0961,192.5,0.9234,71.2427,13.4994,134.07,130.8,0.044288637,0.003953919,8.373289773,0.023617395,0.7416788120000001,0.380801128,2.1972925130000003,2.179709372,Na-HCO3,Na-HCO3,Na-HCO3,Na-CO3,Na-Ca-CO3-HCO3,Na-HCO3,Na-HCO3-CO3,Na-HCO3,Na-HCO3-CO3,Na-HCO3,Na-HCO3-CO3
168,OCNOR4063-150516,1.386,0.1498,121.4,0.5196,71.40187,15.17,174.3,77.7,0.034582563999999996,0.006163341,5.280609758,0.01328958,0.743335867,0.42792665700000004,2.85662777,1.2948273559999999,Na-HCO3,Na-HCO3,Na-HCO3,Ca-HCO3,Ca-Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
169,OCNOR4063-110218,1.548,0.1561,166.2,0.4341,79.2567,17.1224,177.855,91.59,0.038624682,0.006422547,7.229302651,0.011102785,0.825109311,0.48300141,2.9148911760000003,1.5262964940000001,Na-HCO3,Na-HCO3,Na-HCO3,Ca-HCO3,Ca-Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
170,OCNOR4174-040318,22.32,2.478,92.09,4.062,23.1204,55.8338,130.56,21.12,0.556914018,0.10195433,4.005694832,0.103891985,0.240697093,1.57500141,2.139766619,0.35195307299999995,Na-HCO3,Na-HCO3,Na-Ca-HCO3-Cl,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
171,OCNOR6254-240219,8.552999999999999,4.471,199.0,4.2860000000000005,86.4086,88.5364,130.075,38.7,0.213408853,0.183953919,8.656024233,0.10962113400000001,0.899564837,2.497500705,2.131817884,0.644914011,Na-Cl,Na-Cl,Na-Cl-HCO3,Na-Cl,Na-Cl,Na-Cl,Na-Cl,Na-Cl,Na-Cl,Na-Cl,Na-Cl
172,OCNOR6255-240219,43.14,13.41,367.5,5.99,522.7908,20.1001,77.4,25.8,1.0764010179999999,0.551738325,15.98537139,0.153203592,5.442562672,0.56699859,1.268519733,0.42994267399999997,Na-SO4,Na-SO4,Na-SO4,Na-SO4,Na-SO4,Na-SO4,Na-SO4,Na-SO4,Na-SO4,Na-SO4,Na-SO4
173,OCNOR6286-100319,36.87,17.76,68.22,4.739,37.2613,41.636,190.275,21.5,0.9199560859999999,0.730713845,2.9674069,0.121207316,0.38791226,1.174499295,3.118444342,0.35828556200000006,Na-HCO3,Na-HCO3,Na-HCO3-Cl,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
174,OCNOR6304-240319,3.72,0.1358,111.4,1.232,38.1974,55.9933,151.575,21.5,0.09281900300000001,0.005587328000000001,4.845633666,0.031510321,0.397657616,1.579500705,2.484184476,0.35828556200000006,Na-HCO3,Na-HCO3,Na-HCO3-Cl,Na-HCO3,Na-Ca-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
175,OCPNO4498-130518,94.19,30.92,178.6,3.1260000000000003,87.223,54.3023,385.53,51.12,2.350167174,1.272166221,7.768673005,0.079952325,0.908043225,1.531799718,6.318506621,0.851886415,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
176,OCPNO4531-190415,42.58,12.81,34.61,1.71,25.817439999999998,15.2,174.9,13.2,1.062428265,0.5270520470000001,1.505452255,0.043735917,0.268774881,0.42877292,2.8664612560000005,0.219970671,Na-HCO3,Na-HCO3,Na-Ca-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
177,OCPNO4621-150418,46.38,16.45,56.21,1.984,46.9397,28.5443,204.82,37.62,1.157243375,0.67681547,2.445000614,0.050743894000000005,0.488670151,0.8051988720000001,3.356824439,0.6269164110000001,Na-HCO3,Na-HCO3,Na-Ca-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
178,OCPSU4693-180318,72.9776,20.7888,26.6683,2.3340400000000003,99.009,14.286,149.49,25.74,1.820889266,0.8553301790000001,1.160007292,0.059696713,1.0307424840000001,0.40299012700000003,2.450013111,0.42894280799999995,Ca-HCO3,Ca-HCO3,Ca-Na-HCO3-SO4,Ca-HCO3,Ca-HCO3,Ca-HCO3,Ca-HCO3,Ca-HCO3,Ca-HCO3,Ca-HCO3,Ca-HCO3
179,OCPSU4710-211012,83.87700000000001,12.98,518.264,38.94,99.04299999999999,92.31200000000001,683.1,59.4,2.092843954,0.534046492,22.54324494,0.9959512309999999,1.0310964440000001,2.6040056419999997,11.19542415,0.989868018,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
